#{"t_start": 1678571627.4362721, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
25,50,0.15702,0.42,0.38306924882629106,0.42,"(0.42,)",0.0,0.0,0.42,0.42,0.24,0.24,0.34,0.34,0.24,0.24,4.472405849516209,2164.5340487583585,8170,8938
7,50,0.336144,0.52,0.4480792079207921,0.47,"(0.52,)",0.0,0.0,0.47,0.52,0.27,0.3,0.26,0.18,0.27,0.3,3.6146250528615527,3115.6698243449064,7679,8766
30,50,0.536201,0.3,0.39733889903469866,0.41333333333333333,"(0.3,)",0.0,0.0,0.41333333333333333,0.3,0.3466666666666667,0.5,0.24,0.2,0.3466666666666667,0.5,3.019083095076363,3876.8727279190234,6749,8490
3,50,0.724244,0.52,0.44968429360694556,0.44,"(0.52,)",0.0,0.0,0.44,0.52,0.355,0.38,0.205,0.1,0.355,0.38,2.570156833699882,4655.523455064834,6749,8552
4,50,0.919281,0.52,0.4579746439192362,0.456,"(0.52,)",0.0,0.0,0.456,0.52,0.356,0.36,0.188,0.12,0.356,0.36,2.2985062092824844,4923.537398153371,7123,8619
0,50,1.101315,0.56,0.47307299976460127,0.47333333333333333,"(0.56,)",0.0,0.0,0.47333333333333333,0.56,0.35,0.32,0.17666666666666667,0.12,0.35,0.32,2.185084261717784,5035.184152337746,7208,8632
-1,50,1.276368,0.56,0.4854460304300087,0.4857142857142857,"(0.56,)",0.0,0.0,0.4857142857142857,0.56,0.3485714285714286,0.34,0.1657142857142857,0.1,0.3485714285714286,0.34,2.061402901218298,5143.972773335601,6956,8484
22,50,1.477413,0.38,0.4695311417657886,0.4725,"(0.38,)",0.0,0.0,0.4725,0.38,0.3575,0.42,0.17,0.2,0.3575,0.42,1.9734588453772124,5236.9452842013525,6765,8400
15,50,1.675451,0.44,0.4662538808918995,0.4688888888888889,"(0.44,)",0.0,0.0,0.4688888888888889,0.44,0.36,0.38,0.1711111111111111,0.18,0.36,0.38,1.8879852946023898,5363.417537740668,7233,8696
5,50,1.865494,0.5,0.46954184796519066,0.472,"(0.5,)",0.0,0.0,0.472,0.5,0.364,0.4,0.164,0.1,0.364,0.4,1.8761987076576265,5344.573814385787,7460,8688
16,50,2.06153,0.4,0.4643063667379865,0.46545454545454545,"(0.4,)",0.0,0.0,0.46545454545454545,0.4,0.37454545454545457,0.48,0.16,0.12,0.37454545454545457,0.48,1.847922916355092,5333.975118688235,7300,8683
3,50,2.234585,0.56,0.47393133001798754,0.47333333333333333,"(0.56,)",0.0,0.0,0.47333333333333333,0.56,0.365,0.26,0.16166666666666665,0.18,0.365,0.26,1.818007455687518,5366.709509408274,7344,8659
9,50,2.423874,0.48,0.47244789177664226,0.47384615384615386,"(0.48,)",0.0,0.0,0.47384615384615386,0.48,0.36615384615384616,0.38,0.16,0.14,0.36615384615384616,0.38,1.79087162631014,5390.241273386413,7367,8721
20,50,2.621919,0.38,0.4671003166936274,0.46714285714285714,"(0.38,)",0.0,0.0,0.46714285714285714,0.38,0.37285714285714283,0.46,0.16,0.16,0.37285714285714283,0.46,1.7570159374465537,5479.639328227999,6856,8550
5,50,2.811961,0.5,0.4701316627734126,0.4693333333333333,"(0.5,)",0.0,0.0,0.4693333333333333,0.5,0.37466666666666665,0.4,0.156,0.1,0.37466666666666665,0.4,1.722678916874319,5565.699157085956,6939,8620
