#{"t_start": 1678584100.1447756, "env_id": "DeepRMSAKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
69,50,0.211047,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.62,0.62,0.38,0.38,0.62,0.62,3.030298856234216,3267.700246662449,7842,8746
58,50,0.474106,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.73,0.84,0.27,0.16,0.73,0.84,2.3110552886577285,5084.340310837528,6915,8367
60,50,0.733184,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.7533333333333333,0.8,0.24666666666666667,0.2,0.7533333333333333,0.8,1.8805057359726474,6284.538260575597,6339,8125
54,50,0.991236,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.795,0.92,0.205,0.08,0.795,0.92,1.5853301430132636,7663.06925114629,5882,8068
56,50,1.273306,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.812,0.88,0.188,0.12,0.812,0.88,1.3893322904331684,8512.084720872917,5926,8004
54,50,1.548355,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.83,0.92,0.17,0.08,0.83,0.92,1.2510669195784199,9104.688867161603,5721,7854
56,50,1.825424,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8371428571428572,0.88,0.16285714285714287,0.12,0.8371428571428572,0.88,1.1496042846342538,9527.460314430129,5721,7810
54,50,2.09149,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8475,0.92,0.1525,0.08,0.8475,0.92,1.0810056971804822,9802.901868640616,5859,7881
54,50,2.376541,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8555555555555555,0.92,0.14444444444444443,0.08,0.8555555555555555,0.92,1.0173458018824577,10045.629860124918,6430,8165
54,50,2.651609,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.862,0.92,0.138,0.08,0.862,0.92,0.9875267552655802,10092.975331292371,6827,8386
54,50,2.913669,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8672727272727273,0.92,0.13272727272727272,0.08,0.8672727272727273,0.92,0.9713582194612251,10112.041994234916,6566,8263
53,50,3.184736,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8733333333333333,0.94,0.12666666666666668,0.06,0.8733333333333333,0.94,0.9475207307142877,10186.473975852043,6323,8145
57,50,3.452796,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8723076923076923,0.86,0.1276923076923077,0.14,0.8723076923076923,0.86,0.9274435350604839,10245.242315998214,6311,8160
51,50,3.713855,0.02,0.0017885215647854913,0.0014285714285714286,"(0.02,)",0.0014285714285714286,0.02,0.0,0.0,0.8757142857142857,0.92,0.12285714285714286,0.06,0.8757142857142857,0.92,0.9040412665694614,10408.708375995788,5601,7902
53,50,3.985904,0.0,0.0016670205988532597,0.0013333333333333333,"(0.0,)",0.0013333333333333333,0.0,0.0,0.0,0.88,0.94,0.11866666666666667,0.06,0.88,0.94,0.8790891400601772,10553.00336806931,5608,7840
53,50,4.260978,0.0,0.0015636982958676534,0.00125,"(0.0,)",0.00125,0.0,0.0,0.0,0.88375,0.94,0.115,0.06,0.88375,0.94,0.8606630488339568,10670.072099276458,5845,7954
55,50,4.54803,0.0,0.0014642653957713508,0.001176470588235294,"(0.0,)",0.001176470588235294,0.0,0.0,0.0,0.8847058823529412,0.9,0.11411764705882353,0.1,0.8847058823529412,0.9,0.8406361858871928,10746.954377575388,6031,8089
56,50,4.823092,0.0,0.001385188191491239,0.0011111111111111111,"(0.0,)",0.0011111111111111111,0.0,0.0,0.0,0.8844444444444445,0.88,0.11444444444444445,0.12,0.8844444444444445,0.88,0.8306143406626724,10770.374229139314,5872,8041
56,50,5.088145,0.0,0.0013138295201593332,0.0010526315789473684,"(0.0,)",0.0010526315789473684,0.0,0.0,0.0,0.8842105263157894,0.88,0.11473684210526315,0.12,0.8842105263157894,0.88,0.8205605133757318,10869.370491129073,5571,7965
51,50,5.361219,0.0,0.001247209666272114,0.001,"(0.0,)",0.001,0.0,0.0,0.0,0.889,0.98,0.11,0.02,0.889,0.98,0.8087223721608834,10966.32261608013,5662,7954
