,KSPFF,Agent
0,0.0,0.00352
1,0.00416,0.01283
2,0.06027,0.06038
3,0.1466,0.13055
4,0.22343,0.19983
5,0.2921,0.26439
6,0.34987,0.31764
7,0.39844,0.36626
8,0.43875,0.40808
9,0.4762,0.44467
