,KSPFF,Agent
0,0.0,5e-05
1,0.00416,0.01132
2,0.06027,0.05242
3,0.1466,0.11438
4,0.22343,0.16647
5,0.2921,0.23669
6,0.34987,0.29305
7,0.39844,0.34842
8,0.43875,0.38701
9,0.4762,0.42078
