,KSPFF,Agent
0,0.20219,0.47102
1,0.09233,0.46816
2,0.04867,0.44993
3,0.03172,0.43534
4,0.02497,0.40405
5,0.02034,0.37867
6,0.01826,0.3582
7,0.01643,0.32892
8,0.01512,0.30973
9,0.01422,0.2967
