,KSPFF,Agent
0,60.1095,73.199
1,54.2005,72.125
2,46.4065,66.4585
3,36.926,58.712
4,28.9055,50.2195
5,21.807,42.4945
6,15.926,36.146
7,10.9775,29.82
8,6.881,24.6785
9,3.091,20.368
