#{"t_start": 1678578753.1839466, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
25,50,0.153049,0.42,0.38306924882629106,0.42,"(0.42,)",0.0,0.0,0.42,0.42,0.24,0.24,0.34,0.34,0.24,0.24,4.42226190601357,2192.165530308933,8056,8896
4,50,0.330076,0.52,0.4480792079207921,0.47,"(0.52,)",0.0,0.0,0.47,0.52,0.3,0.36,0.23,0.12,0.3,0.36,3.5077777753659523,3662.2380133314327,7174,8610
28,50,0.530121,0.3,0.39733889903469866,0.41333333333333333,"(0.3,)",0.0,0.0,0.41333333333333333,0.3,0.38,0.54,0.20666666666666667,0.16,0.38,0.54,2.8125677462510286,5121.303412436612,5905,8243
1,50,0.706324,0.52,0.44968429360694556,0.44,"(0.52,)",0.0,0.0,0.44,0.52,0.39,0.42,0.17,0.06,0.39,0.42,2.3507057380906047,6465.406050593965,5223,8116
-18,50,0.858359,0.7,0.5055564251056504,0.492,"(0.7,)",0.056,0.28,0.436,0.42,0.392,0.4,0.144,0.04,0.364,0.26,2.019235988109234,7467.430586976439,5158,8062
-18,50,1.008374,0.72,0.5373891664269087,0.53,"(0.72,)",0.08333333333333333,0.22,0.44666666666666666,0.5,0.38333333333333336,0.34,0.13333333333333333,0.08,0.33666666666666667,0.2,1.7975205959624063,8128.6241567241905,5016,7959
-25,50,1.15442,0.76,0.5729939274430278,0.5628571428571428,"(0.76,)",0.11428571428571428,0.3,0.44857142857142857,0.46,0.38,0.36,0.11714285714285715,0.02,0.32,0.22,1.6389883490735833,8620.547901728327,5037,7960
2,50,1.323463,0.56,0.5714370534565678,0.5625,"(0.56,)",0.135,0.28,0.4275,0.28,0.38,0.38,0.1225,0.16,0.315,0.28,1.5040179476078885,9096.544554722468,4804,7868
-1,50,1.50379,0.54,0.5695914479254869,0.56,"(0.54,)",0.14222222222222222,0.2,0.4177777777777778,0.34,0.39111111111111113,0.48,0.11555555555555555,0.06,0.3244444444444444,0.4,1.3872707860357854,9533.513250886905,4981,7979
-12,50,1.664829,0.66,0.5828320962375224,0.57,"(0.66,)",0.154,0.26,0.416,0.4,0.388,0.36,0.112,0.08,0.318,0.26,1.3043081993875905,9864.846720462923,5063,7933
-11,50,1.823862,0.64,0.5946914936679581,0.5763636363636364,"(0.64,)",0.16545454545454547,0.28,0.4109090909090909,0.36,0.39454545454545453,0.46,0.10727272727272727,0.06,0.31636363636363635,0.3,1.2467837563121156,10118.986507459107,4922,7926
-20,50,1.977897,0.74,0.6105570839064649,0.59,"(0.74,)",0.17166666666666666,0.24,0.41833333333333333,0.5,0.39,0.34,0.105,0.08,0.305,0.18,1.1939447886215155,10326.352175593498,5227,7958
-10,50,2.144936,0.62,0.6136210466982809,0.5923076923076923,"(0.62,)",0.1723076923076923,0.18,0.42,0.44,0.39692307692307693,0.48,0.1,0.04,0.3076923076923077,0.34,1.140365680516055,10504.665405411888,5171,7930
-13,50,2.296973,0.68,0.6194094461279078,0.5985714285714285,"(0.68,)",0.18428571428571427,0.34,0.4142857142857143,0.34,0.40285714285714286,0.48,0.1,0.1,0.30142857142857143,0.22,1.0967210099711464,10683.774370909563,4904,7838
-24,50,2.457019,0.74,0.6322892333828838,0.608,"(0.74,)",0.19333333333333333,0.32,0.4146666666666667,0.42,0.4066666666666667,0.46,0.09333333333333334,0.0,0.2986666666666667,0.26,1.0551134905415842,10800.95097483991,5310,7981
-15,50,2.615041,0.68,0.636265848630021,0.6125,"(0.68,)",0.19125,0.16,0.42125,0.52,0.4075,0.42,0.09125,0.06,0.29625,0.26,1.027843032255087,10863.406826447743,5363,8029
-5,50,2.796081,0.56,0.6320683448205109,0.6094117647058823,"(0.56,)",0.19176470588235295,0.2,0.4176470588235294,0.36,0.41411764705882353,0.52,0.08705882352941176,0.02,0.3035294117647059,0.42,0.987992247229824,10984.297713324173,5190,7997
-12,50,2.964133,0.66,0.6367542482045491,0.6122222222222222,"(0.66,)",0.19555555555555557,0.26,0.4166666666666667,0.4,0.41444444444444445,0.42,0.08666666666666667,0.08,0.3011111111111111,0.26,0.9657740607086458,11028.284145671296,5416,8019
-18,50,3.118153,0.7,0.6415253811779277,0.6168421052631579,"(0.7,)",0.1968421052631579,0.22,0.42,0.48,0.41368421052631577,0.4,0.08421052631578947,0.04,0.29894736842105263,0.26,0.9443347361069131,11067.252169907435,5363,8032
-2,50,3.295193,0.56,0.6396279025428778,0.614,"(0.56,)",0.198,0.22,0.416,0.34,0.418,0.5,0.084,0.08,0.302,0.36,0.9178426681582442,11146.58732080618,5156,7985
-8,50,3.468611,0.6,0.6377057371712369,0.6133333333333333,"(0.6,)",0.1980952380952381,0.2,0.41523809523809524,0.4,0.42,0.46,0.08190476190476191,0.04,0.3047619047619048,0.36,0.8967848147843918,11205.007694267642,5158,7963
