#{"t_start": 1678585137.86403, "env_id": "DeepRMSAKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
69,50,0.205045,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.62,0.62,0.38,0.38,0.62,0.62,2.9342887632284356,3388.732056388221,7668,8688
56,50,0.454088,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.75,0.88,0.25,0.12,0.75,0.88,2.17539853916335,6147.655321696041,6095,8036
55,50,0.706162,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8,0.9,0.2,0.1,0.8,0.9,1.7102363180126248,8667.242812975004,4646,7472
35,50,0.957207,0.16,0.04952644041041831,0.04,"(0.16,)",0.04,0.16,0.0,0.0,0.805,0.82,0.155,0.02,0.805,0.82,1.4014425448465448,10979.376863952888,3816,7243
26,50,1.220426,0.26,0.10302081702926906,0.084,"(0.26,)",0.084,0.26,0.0,0.0,0.784,0.7,0.132,0.04,0.784,0.7,1.1950029932362758,12908.56079489346,3633,7226
16,50,1.470484,0.34,0.15361075510684488,0.12666666666666668,"(0.34,)",0.12666666666666668,0.34,0.0,0.0,0.7633333333333333,0.66,0.11,0.0,0.7633333333333333,0.66,1.0497719580605638,14280.112761035982,3471,7148
18,50,1.702535,0.36,0.19476998229771214,0.16,"(0.36,)",0.16,0.36,0.0,0.0,0.7342857142857143,0.56,0.10571428571428572,0.08,0.7342857142857143,0.56,0.9525517196799738,15258.474087535618,3107,6992
27,50,1.942582,0.26,0.20901696122865002,0.1725,"(0.26,)",0.1725,0.26,0.0,0.0,0.7275,0.68,0.1,0.06,0.7275,0.68,0.8674234979804158,16303.779252663056,3019,6990
25,50,2.197064,0.26,0.22131668077900085,0.18222222222222223,"(0.26,)",0.18222222222222223,0.26,0.0,0.0,0.7266666666666667,0.72,0.09111111111111111,0.02,0.7266666666666667,0.72,0.7919151041199296,17274.112124311705,3192,7046
24,50,2.440524,0.26,0.23166751983619144,0.19,"(0.26,)",0.19,0.26,0.0,0.0,0.728,0.74,0.082,0.0,0.728,0.74,0.7386506227347209,18011.872803054408,3218,7132
3,50,2.677564,0.48,0.263719424044411,0.21636363636363637,"(0.48,)",0.21636363636363637,0.48,0.0,0.0,0.7072727272727273,0.5,0.07636363636363637,0.02,0.7072727272727273,0.5,0.7050818677964554,18474.94911076253,3253,7141
4,50,2.916617,0.46,0.2869802137339964,0.23666666666666666,"(0.46,)",0.23666666666666666,0.46,0.0,0.0,0.6933333333333334,0.54,0.07,0.0,0.6933333333333334,0.54,0.6704740467775323,18894.206410878793,3504,7218
21,50,3.168688,0.3,0.29271281353772255,0.24153846153846154,"(0.3,)",0.24153846153846154,0.3,0.0,0.0,0.6923076923076923,0.68,0.06615384615384616,0.02,0.6923076923076923,0.68,0.6391272343366964,19244.70273675875,3614,7252
17,50,3.411742,0.34,0.29843248046296506,0.24857142857142858,"(0.34,)",0.24857142857142858,0.34,0.0,0.0,0.6885714285714286,0.64,0.06285714285714286,0.02,0.6885714285714286,0.64,0.6149987761973825,19546.962243100665,3333,7191
12,50,3.660792,0.38,0.30954555107241455,0.25733333333333336,"(0.38,)",0.25733333333333336,0.38,0.0,0.0,0.684,0.62,0.058666666666666666,0.0,0.684,0.62,0.590027051073285,19880.530935827315,3400,7251
18,50,3.899846,0.32,0.3120225491270181,0.26125,"(0.32,)",0.26125,0.32,0.0,0.0,0.68375,0.68,0.055,0.0,0.68375,0.68,0.5720383399964168,20166.897947138677,3272,7257
-2,50,4.158911,0.52,0.328555040523778,0.27647058823529413,"(0.52,)",0.27647058823529413,0.52,0.0,0.0,0.6717647058823529,0.48,0.05176470588235294,0.0,0.6717647058823529,0.48,0.5493660491951669,20433.216834926672,3893,7452
27,50,4.42197,0.24,0.32781316722838844,0.27444444444444444,"(0.24,)",0.27444444444444444,0.24,0.0,0.0,0.6755555555555556,0.74,0.05,0.02,0.6755555555555556,0.74,0.5361011448775149,20501.389114380687,3828,7357
19,50,4.674026,0.32,0.3303737301042695,0.2768421052631579,"(0.32,)",0.2768421052631579,0.32,0.0,0.0,0.6747368421052632,0.66,0.04842105263157895,0.02,0.6747368421052632,0.66,0.5218585356721043,20602.570005931655,3743,7316
28,50,4.928085,0.22,0.32708669298782184,0.274,"(0.22,)",0.274,0.22,0.0,0.0,0.68,0.78,0.046,0.0,0.68,0.78,0.506521234077794,20734.28682239517,3693,7310
