#{"t_start": 1678570143.2859387, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
25,50,0.18174,0.42,0.38306924882629106,0.42,"(0.42,)",0.0,0.0,0.42,0.42,0.24,0.24,0.34,0.34,0.24,0.24,4.581546547750519,1880.4661663353352,8430,9035
7,50,0.386348,0.52,0.4480792079207921,0.47,"(0.52,)",0.0,0.0,0.47,0.52,0.27,0.3,0.26,0.18,0.27,0.3,3.8115102880024727,2447.185663918379,8100,8866
30,50,0.597402,0.3,0.39733889903469866,0.41333333333333333,"(0.3,)",0.0,0.0,0.41333333333333333,0.3,0.3466666666666667,0.5,0.24,0.2,0.3466666666666667,0.5,3.2609932317574595,2947.8268623707827,7637,8843
5,50,0.790446,0.52,0.44968429360694556,0.44,"(0.52,)",0.0,0.0,0.44,0.52,0.345,0.34,0.215,0.14,0.345,0.34,3.279479151387621,3018.8928479981673,8187,9035
5,50,0.975964,0.52,0.4579746439192362,0.456,"(0.52,)",0.0,0.0,0.456,0.52,0.344,0.34,0.2,0.14,0.344,0.34,3.2646764630481098,2941.1270037414624,8255,8928
2,50,1.149251,0.56,0.47307299976460127,0.47333333333333333,"(0.56,)",0.0,0.0,0.47333333333333333,0.56,0.3333333333333333,0.28,0.19333333333333333,0.16,0.3333333333333333,0.28,3.1777282286216915,2950.8380433796347,8020,8850
1,50,1.332309,0.56,0.4854460304300087,0.4857142857142857,"(0.56,)",0.0,0.0,0.4857142857142857,0.56,0.32857142857142857,0.3,0.18571428571428572,0.14,0.32857142857142857,0.3,3.129932969807335,2888.362417268615,8249,8952
24,50,1.525346,0.38,0.4695311417657886,0.4725,"(0.38,)",0.0,0.0,0.4725,0.38,0.335,0.38,0.1925,0.24,0.335,0.38,3.068554608940069,2929.7933811477888,8144,8956
19,50,1.712393,0.44,0.4662538808918995,0.4688888888888889,"(0.44,)",0.0,0.0,0.4688888888888889,0.44,0.33111111111111113,0.3,0.2,0.26,0.33111111111111113,0.3,3.1921688143804268,2902.3649838407196,8312,9027
8,50,1.897434,0.5,0.46954184796519066,0.472,"(0.5,)",0.0,0.0,0.472,0.5,0.332,0.34,0.196,0.16,0.332,0.34,3.164365115432256,2876.212861301722,8377,8989
