,0
0,0.004551112485572501
1,0.010077219868250302
2,0.02256234677396333
3,0.014268029873054073
4,0.005655504828387712
5,0.020578806403757782
6,0.008506722886305109
7,0.018535529138458004
8,0.01609127849325842
9,0.007756056083927228
10,0.005039470089773612
11,0.0
12,0.0
13,0.0015661102861961027
14,0.00041696398301311797
15,0.018062554637356565
16,0.02452115590313996
17,0.01503385404437255
18,0.03882866385281826
19,0.015782930577575183
20,0.012121900652371703
21,0.008224867981939905
22,0.00578703039227519
23,0.057029660127545956
24,0.007660172180674625
25,0.020001085081837264
26,0.24590836207842415
27,0.012898739281718032
28,0.016452957953053467
29,0.01315047444252812
30,0.00143941900053381
31,0.05444857812401088
32,0.007723205164724656
33,0.02097593475121902
34,0.007660584327364135
35,0.0006365957682382454
36,0.017396899564762307
37,0.009946149071890675
38,0.005203345482556684
39,0.004753842994742475
40,0.00128497963535291
41,0.0074686405663309625
42,0.008665571802416372
43,0.010446536593113412
44,0.004587620354932061
45,0.0013283469658056043
46,0.014859698763442697
47,0.00875227964799451
48,0.011540121498699379
49,0.004206274158576299
50,0.0007650180958214859
51,0.0056551647647719045
52,0.0074804391102948516
53,0.007070423864866452
54,0.004442207697212007
55,0.0015343305744694984
56,0.03072604529477533
57,0.008073173120579485
58,0.0056717088109410965
59,0.0036893400520187944
60,0.0046107889724789995
61,0.01879398002723141
62,0.010528293203767542
63,0.004644753305641136
64,0.004515235741156674
65,0.0008430294754253069
66,0.0066496763513742806
67,0.0055183313651570205
68,0.004938947179260573
69,0.0037521436352601226
70,0.0005675356199204145
71,0.004503979153137224
72,0.004631269966183104
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
