#{"t_start": 1678580073.4433587, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
25,50,0.154035,0.42,0.38306924882629106,0.42,"(0.42,)",0.0,0.0,0.42,0.42,0.24,0.24,0.34,0.34,0.24,0.24,4.42226190601357,2192.165530308933,8056,8896
4,50,0.329061,0.52,0.4480792079207921,0.47,"(0.52,)",0.0,0.0,0.47,0.52,0.3,0.36,0.23,0.12,0.3,0.36,3.506716427079406,3672.0983555218677,7084,8600
28,50,0.527119,0.3,0.39733889903469866,0.41333333333333333,"(0.3,)",0.0,0.0,0.41333333333333333,0.3,0.38,0.54,0.20666666666666667,0.16,0.38,0.54,2.8077679795976094,5160.558728780528,5816,8191
1,50,0.701158,0.52,0.44968429360694556,0.44,"(0.52,)",0.0,0.0,0.44,0.52,0.39,0.42,0.17,0.06,0.39,0.42,2.3456689682274674,6575.553439924924,5152,8095
-22,50,0.848846,0.74,0.5096259195492252,0.5,"(0.74,)",0.064,0.32,0.436,0.42,0.388,0.38,0.144,0.04,0.356,0.22,2.0174332211731913,7665.021097666706,4969,8033
-16,50,1.002883,0.7,0.5410247691784584,0.5333333333333333,"(0.7,)",0.08333333333333333,0.18,0.45,0.52,0.37666666666666665,0.32,0.13333333333333333,0.08,0.3333333333333333,0.22,1.800870777453515,8331.501977000858,4975,7975
-31,50,1.13892,0.82,0.5858560960853295,0.5742857142857143,"(0.82,)",0.11428571428571428,0.3,0.46,0.52,0.37714285714285717,0.38,0.11714285714285715,0.02,0.30857142857142855,0.16,1.6424830544387552,8819.611211981084,5032,7958
3,50,1.304955,0.54,0.5816692065628278,0.57,"(0.54,)",0.13,0.24,0.44,0.3,0.38,0.4,0.12,0.14,0.31,0.32,1.5051386451117625,9323.814768056101,4575,7813
-8,50,1.476188,0.6,0.5851502963590178,0.5733333333333334,"(0.6,)",0.14444444444444443,0.26,0.4288888888888889,0.34,0.3933333333333333,0.5,0.1111111111111111,0.04,0.31555555555555553,0.36,1.3855926826514342,9824.229455340172,4726,7837
-12,50,1.639219,0.66,0.5969413872536473,0.582,"(0.66,)",0.156,0.26,0.426,0.4,0.39,0.36,0.108,0.08,0.31,0.26,1.2941535268548685,10193.073712104599,4829,7873
-15,50,1.79426,0.68,0.6111432371479789,0.5909090909090909,"(0.68,)",0.17272727272727273,0.34,0.41818181818181815,0.34,0.39636363636363636,0.46,0.10363636363636364,0.06,0.3054545454545455,0.26,1.2367339754479383,10424.004503119775,4814,7837
-20,50,1.938299,0.74,0.6255290445455507,0.6033333333333334,"(0.74,)",0.17833333333333334,0.24,0.425,0.5,0.39166666666666666,0.34,0.10166666666666667,0.08,0.295,0.18,1.1795852021658202,10680.680988838254,4810,7845
-12,50,2.102335,0.64,0.6286316460194341,0.6061538461538462,"(0.64,)",0.18153846153846154,0.22,0.4246153846153846,0.42,0.3984615384615385,0.48,0.09692307692307692,0.04,0.2969230769230769,0.32,1.126782277899288,10903.356343913829,4815,7854
-18,50,2.257373,0.72,0.6369301223485453,0.6142857142857143,"(0.72,)",0.1957142857142857,0.38,0.4185714285714286,0.34,0.4042857142857143,0.48,0.09571428571428571,0.08,0.29,0.2,1.084474963270624,11076.865648364694,5009,7893
-16,50,2.416403,0.66,0.6436186026757273,0.6173333333333333,"(0.66,)",0.196,0.2,0.42133333333333334,0.46,0.4093333333333333,0.48,0.08933333333333333,0.0,0.29333333333333333,0.34,1.0425579832684186,11234.557275414898,4821,7810
-16,50,2.576449,0.7,0.6474408135215083,0.6225,"(0.7,)",0.2025,0.3,0.42,0.4,0.4075,0.38,0.08875,0.08,0.28875,0.22,1.012831786947761,11356.22612355939,4710,7823
-20,50,2.736463,0.7,0.6509452439354231,0.6270588235294118,"(0.7,)",0.21411764705882352,0.4,0.41294117647058826,0.3,0.4152941176470588,0.54,0.08352941176470588,0.0,0.28941176470588237,0.3,0.9667566409164653,11540.296841295469,4716,7822
-22,50,2.886512,0.74,0.6584584708228194,0.6333333333333333,"(0.74,)",0.2222222222222222,0.36,0.4111111111111111,0.38,0.4166666666666667,0.44,0.0811111111111111,0.04,0.28555555555555556,0.22,0.9418010591593883,11639.07319960809,4802,7848
-21,50,3.045548,0.72,0.6630236489313629,0.6378947368421053,"(0.72,)",0.22526315789473683,0.28,0.4126315789473684,0.44,0.4168421052631579,0.42,0.07789473684210527,0.02,0.28421052631578947,0.26,0.9180150759259307,11710.508447760632,5054,7952
-13,50,3.20657,0.66,0.6635790945416703,0.639,"(0.66,)",0.23,0.32,0.409,0.34,0.422,0.52,0.077,0.06,0.284,0.28,0.8901793532808613,11787.281424440644,4932,7844
-20,50,3.360621,0.72,0.6663310267552958,0.6428571428571429,"(0.72,)",0.23523809523809525,0.34,0.4076190476190476,0.38,0.4238095238095238,0.46,0.07523809523809524,0.04,0.2819047619047619,0.24,0.8704483440752651,11814.418817193073,5115,7908
-23,50,3.51764,0.74,0.6689447963800905,0.6472727272727272,"(0.74,)",0.23636363636363636,0.26,0.4109090909090909,0.48,0.42454545454545456,0.44,0.07272727272727272,0.02,0.28,0.24,0.8494510569683845,11840.094859072286,5424,8016
-12,50,3.675689,0.64,0.6703412073490813,0.6469565217391304,"(0.64,)",0.23565217391304347,0.22,0.41130434782608694,0.42,0.42695652173913046,0.48,0.07130434782608695,0.04,0.2817391304347826,0.32,0.8375943839145918,11844.92494541673,5063,7911
-15,50,3.834725,0.68,0.6702762811263057,0.6483333333333333,"(0.68,)",0.23416666666666666,0.2,0.4141666666666667,0.48,0.42583333333333334,0.4,0.07083333333333333,0.06,0.2808333333333333,0.26,0.8233879616553156,11877.20321215013,5004,7877
-11,50,3.993754,0.64,0.6694758819111151,0.648,"(0.64,)",0.2368,0.3,0.4112,0.34,0.4288,0.5,0.0704,0.06,0.2816,0.3,0.8090512808751371,11937.427119642312,4667,7773
-20,50,4.145795,0.72,0.6720717961284,0.6507692307692308,"(0.72,)",0.24307692307692308,0.4,0.4076923076923077,0.32,0.4269230769230769,0.38,0.06923076923076923,0.04,0.28,0.24,0.7941692984472791,12005.156439225982,4677,7759
-30,50,4.280826,0.82,0.6774281239842803,0.6570370370370371,"(0.82,)",0.2474074074074074,0.36,0.4096296296296296,0.46,0.4237037037037037,0.34,0.06814814814814815,0.04,0.2748148148148148,0.14,0.7811620121068843,12057.76800117894,4575,7668
-15,50,4.43286,0.7,0.679002642609805,0.6585714285714286,"(0.7,)",0.2542857142857143,0.44,0.4042857142857143,0.26,0.42214285714285715,0.38,0.06928571428571428,0.1,0.27214285714285713,0.2,0.7697961550252043,12110.171422324403,4533,7628
-17,50,4.591889,0.7,0.6792736360033467,0.66,"(0.7,)",0.2613793103448276,0.46,0.3986206896551724,0.24,0.42482758620689653,0.5,0.06896551724137931,0.06,0.2710344827586207,0.24,0.7547151064475619,12195.909186744671,4617,7601
-34,50,4.722919,0.86,0.6866141564775272,0.6666666666666666,"(0.86,)",0.26066666666666666,0.24,0.406,0.62,0.42,0.28,0.068,0.04,0.2653333333333333,0.1,0.7455865684118008,12243.834454044825,4851,7704
-9,50,4.888949,0.62,0.6865420801649698,0.6651612903225806,"(0.62,)",0.26193548387096777,0.3,0.4032258064516129,0.32,0.4238709677419355,0.54,0.06774193548387097,0.06,0.2670967741935484,0.32,0.7348767455962639,12307.223245450612,4682,7645
-21,50,5.046991,0.72,0.6884791245034105,0.666875,"(0.72,)",0.2675,0.44,0.399375,0.28,0.42625,0.5,0.06625,0.02,0.266875,0.26,0.721015898088822,12380.58783486387,4877,7720
-23,50,5.203033,0.74,0.6900562979040901,0.6690909090909091,"(0.74,)",0.2684848484848485,0.3,0.40060606060606063,0.44,0.4266666666666667,0.44,0.06484848484848485,0.02,0.26606060606060605,0.24,0.7132823280868315,12397.727570545843,5092,7783
-26,50,5.348066,0.76,0.6933552554315913,0.6717647058823529,"(0.76,)",0.27176470588235296,0.38,0.4,0.38,0.4264705882352941,0.42,0.06294117647058824,0.0,0.26529411764705885,0.24,0.7076465061429754,12412.883302593455,4888,7744
-14,50,5.505101,0.66,0.6929394845572625,0.6714285714285714,"(0.66,)",0.272,0.28,0.3994285714285714,0.38,0.4268571428571429,0.44,0.062285714285714285,0.04,0.2662857142857143,0.3,0.6997528131796682,12435.18250573689,4846,7749
-14,50,5.666131,0.68,0.6938374291115312,0.6716666666666666,"(0.68,)",0.2727777777777778,0.3,0.3988888888888889,0.38,0.4272222222222222,0.44,0.06277777777777778,0.08,0.26555555555555554,0.24,0.6928337518436418,12459.772927363565,4983,7787
-18,50,5.826159,0.7,0.6950376694259197,0.6724324324324324,"(0.7,)",0.27513513513513516,0.36,0.3972972972972973,0.34,0.4281081081081081,0.46,0.062162162162162166,0.04,0.2654054054054054,0.26,0.6867166624476234,12477.760498831509,5187,7862
-21,50,5.978215,0.74,0.6968496978470551,0.6742105263157895,"(0.74,)",0.27421052631578946,0.24,0.4,0.5,0.42736842105263156,0.4,0.06210526315789474,0.06,0.2636842105263158,0.2,0.6826564517140535,12481.472710867989,5234,7847
-16,50,6.137239,0.68,0.6971831851769884,0.6743589743589744,"(0.68,)",0.27282051282051284,0.22,0.4015384615384615,0.46,0.4266666666666667,0.4,0.06153846153846154,0.04,0.2641025641025641,0.28,0.677383450179079,12501.309780277805,5156,7861
-11,50,6.305275,0.62,0.695965078338106,0.673,"(0.62,)",0.2715,0.22,0.4015,0.4,0.427,0.44,0.0605,0.02,0.2665,0.36,0.6720594519623775,12526.346821464715,4886,7774
-25,50,6.458316,0.76,0.6982391045078613,0.6751219512195122,"(0.76,)",0.27170731707317075,0.28,0.4034146341463415,0.48,0.4268292682926829,0.42,0.05951219512195122,0.02,0.2653658536585366,0.22,0.66627768067396,12546.587235687186,5032,7805
-9,50,6.621353,0.62,0.6974106333203789,0.6738095238095239,"(0.62,)",0.2704761904761905,0.22,0.4033333333333333,0.4,0.4280952380952381,0.48,0.05952380952380952,0.06,0.26666666666666666,0.32,0.661800794877887,12566.172278804634,4685,7633
-28,50,6.762384,0.8,0.6999683762114701,0.6767441860465117,"(0.8,)",0.27209302325581397,0.34,0.4046511627906977,0.46,0.4274418604651163,0.4,0.05906976744186047,0.04,0.2641860465116279,0.16,0.6559561466235861,12595.67835439366,4772,7711
-32,50,6.899416,0.82,0.7039312663863289,0.68,"(0.82,)",0.27636363636363637,0.46,0.4036363636363636,0.36,0.4263636363636364,0.38,0.057727272727272724,0.0,0.26227272727272727,0.18,0.6516407575698888,12610.752675612242,4859,7727
-19,50,7.062616,0.72,0.7044814440761867,0.6808888888888889,"(0.72,)",0.276,0.26,0.4048888888888889,0.46,0.42444444444444446,0.34,0.057777777777777775,0.06,0.2613333333333333,0.22,0.6474421979679005,12613.268430490085,5238,7891
-24,50,7.217664,0.74,0.7061972761901449,0.6821739130434783,"(0.74,)",0.27652173913043476,0.3,0.4056521739130435,0.44,0.4256521739130435,0.48,0.05652173913043478,0.0,0.26130434782608697,0.26,0.645329478999864,12609.058699842384,5191,7940
-15,50,7.38469,0.66,0.7064109121909633,0.6817021276595745,"(0.66,)",0.27702127659574466,0.3,0.4046808510638298,0.36,0.4268085106382979,0.48,0.05574468085106383,0.02,0.2625531914893617,0.32,0.6429946322441144,12601.906381939312,5362,8008
-9,50,7.556726,0.6,0.704652859590875,0.68,"(0.6,)",0.27416666666666667,0.14,0.4058333333333333,0.46,0.4275,0.46,0.055,0.02,0.265,0.38,0.64217131865392,12578.782469614116,5301,8050
-26,50,7.705774,0.76,0.7064586130708698,0.6816326530612244,"(0.76,)",0.27183673469387754,0.16,0.4097959183673469,0.6,0.42653061224489797,0.38,0.053877551020408164,0.0,0.26448979591836735,0.24,0.6416362838915686,12552.242098163972,5454,8139
-18,50,7.864795,0.7,0.7059498148011321,0.682,"(0.7,)",0.272,0.28,0.41,0.42,0.4276,0.48,0.0536,0.04,0.2644,0.26,0.6406662911218154,12518.792455648603,5422,8147
-15,50,8.014829,0.68,0.7056330355540301,0.6819607843137255,"(0.68,)",0.2733333333333333,0.34,0.40862745098039216,0.34,0.42980392156862746,0.54,0.05372549019607843,0.06,0.2643137254901961,0.26,0.6389025958382786,12507.813385241887,4900,7897
-14,50,8.169878,0.68,0.7060584805440798,0.681923076923077,"(0.68,)",0.2746153846153846,0.34,0.4073076923076923,0.34,0.43153846153846154,0.52,0.05423076923076923,0.08,0.26384615384615384,0.24,0.6358260192156874,12513.264262953082,4730,7839
-18,50,8.327899,0.7,0.7067229462546096,0.6822641509433962,"(0.7,)",0.27622641509433965,0.36,0.4060377358490566,0.34,0.43056603773584906,0.38,0.0539622641509434,0.04,0.2637735849056604,0.26,0.6326492043200126,12523.030118726272,4819,7849
-18,50,8.482935,0.7,0.7067777771173496,0.6825925925925926,"(0.7,)",0.2796296296296296,0.46,0.40296296296296297,0.24,0.43333333333333335,0.58,0.053703703703703705,0.04,0.2637037037037037,0.26,0.6292188732946714,12534.086631419754,4616,7789
