#{"t_start": 1678584515.156559, "env_id": "DeepRMSAKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
69,50,0.206047,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.62,0.62,0.38,0.38,0.62,0.62,2.9160506444028775,3370.9082187240856,7668,8688
56,50,0.458103,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.75,0.88,0.25,0.12,0.75,0.88,2.1437258948062463,5971.795639207142,6330,8129
57,50,0.716162,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.7866666666666666,0.86,0.21333333333333335,0.14,0.7866666666666666,0.86,1.6946765066559784,7953.988841508485,5372,7754
54,50,0.973495,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.82,0.92,0.18,0.08,0.82,0.92,1.3995834032058188,9772.492987309553,4662,7598
41,50,1.235569,0.12,0.03349506965096259,0.024,"(0.12,)",0.024,0.12,0.0,0.0,0.82,0.82,0.156,0.06,0.82,0.82,1.1999200192253703,11368.36279473585,4415,7537
24,50,1.488923,0.28,0.08212800460335312,0.06666666666666667,"(0.28,)",0.06666666666666667,0.28,0.0,0.0,0.7966666666666666,0.68,0.13666666666666666,0.04,0.7966666666666666,0.68,1.0652042603106444,12463.656619667949,4346,7496
41,50,1.752982,0.14,0.09897595625966343,0.07714285714285714,"(0.14,)",0.07714285714285714,0.14,0.0,0.0,0.7914285714285715,0.76,0.13142857142857142,0.1,0.7914285714285715,0.76,0.972544591625713,13240.869551624819,4173,7390
44,50,2.014027,0.08,0.10123300413640232,0.0775,"(0.08,)",0.0775,0.08,0.0,0.0,0.8025,0.88,0.12,0.04,0.8025,0.88,0.8935663408335853,14026.180749363599,4121,7377
37,50,2.284102,0.14,0.11051721704769969,0.08444444444444445,"(0.14,)",0.08444444444444445,0.14,0.0,0.0,0.8066666666666666,0.84,0.10888888888888888,0.02,0.8066666666666666,0.84,0.8237912504317763,14704.234386369319,4606,7598
45,50,2.559151,0.06,0.10809124648067571,0.082,"(0.06,)",0.082,0.06,0.0,0.0,0.818,0.92,0.1,0.02,0.818,0.92,0.7749896176355576,15155.51828118524,4659,7628
47,50,2.828224,0.04,0.10339443705545596,0.07818181818181819,"(0.04,)",0.07818181818181819,0.04,0.0,0.0,0.8290909090909091,0.94,0.09272727272727273,0.02,0.8290909090909091,0.94,0.7447691347469146,15438.401601653379,4393,7542
38,50,3.103286,0.12,0.10689345042852608,0.08166666666666667,"(0.12,)",0.08166666666666667,0.12,0.0,0.0,0.8333333333333334,0.88,0.085,0.0,0.8333333333333334,0.88,0.7148136613358662,15767.203759954587,4379,7459
45,50,3.380585,0.08,0.10743913048805892,0.08153846153846153,"(0.08,)",0.08153846153846153,0.08,0.0,0.0,0.8353846153846154,0.86,0.08307692307692308,0.06,0.8353846153846154,0.86,0.6868286864857486,16063.120847761773,4626,7568
38,50,3.642638,0.14,0.11214144129776037,0.08571428571428572,"(0.14,)",0.08571428571428572,0.14,0.0,0.0,0.8342857142857143,0.82,0.08,0.04,0.8342857142857143,0.82,0.6640078081415065,16271.856457731066,4281,7442
33,50,3.914705,0.18,0.12055638139732427,0.092,"(0.18,)",0.092,0.18,0.0,0.0,0.832,0.8,0.076,0.02,0.832,0.8,0.6401777126584759,16497.788369185386,4425,7509
37,50,4.177764,0.14,0.12361184426760156,0.095,"(0.14,)",0.095,0.14,0.0,0.0,0.8325,0.84,0.0725,0.02,0.8325,0.84,0.622965469071138,16654.14219478907,4211,7444
28,50,4.459827,0.22,0.1332481510151929,0.10235294117647059,"(0.22,)",0.10235294117647059,0.22,0.0,0.0,0.8294117647058824,0.78,0.06823529411764706,0.0,0.8294117647058824,0.78,0.5994251823238502,16846.735199533818,4607,7568
43,50,4.733889,0.08,0.13156640962749908,0.10111111111111111,"(0.08,)",0.10111111111111111,0.08,0.0,0.0,0.8333333333333334,0.9,0.06555555555555556,0.02,0.8333333333333334,0.9,0.5870653884032419,16877.274920099702,4351,7479
33,50,4.995949,0.2,0.13740815745870225,0.10631578947368421,"(0.2,)",0.10631578947368421,0.2,0.0,0.0,0.828421052631579,0.74,0.06526315789473684,0.06,0.828421052631579,0.74,0.5731693490432492,17002.361808309015,4278,7489
48,50,5.272011,0.02,0.13197384831706135,0.102,"(0.02,)",0.102,0.02,0.0,0.0,0.836,0.98,0.062,0.0,0.836,0.98,0.5604194779499275,17105.023704848056,4437,7524
