#{"t_start": 1678584931.66149, "env_id": "DeepRMSAKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
69,50,0.206047,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.62,0.62,0.38,0.38,0.62,0.62,2.9594301034927306,3380.920409124704,7664,8688
56,50,0.451101,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.75,0.88,0.25,0.12,0.75,0.88,2.1891157648698725,6108.507332735125,6111,8044
55,50,0.702158,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8,0.9,0.2,0.1,0.8,0.9,1.7212565797902768,8522.058195032596,4712,7488
42,50,0.959216,0.1,0.03378058405682715,0.025,"(0.1,)",0.025,0.1,0.0,0.0,0.815,0.86,0.16,0.04,0.815,0.86,1.4146555470664257,10728.337675092278,3985,7284
34,50,1.232094,0.18,0.07359524182188136,0.056,"(0.18,)",0.056,0.18,0.0,0.0,0.808,0.78,0.136,0.04,0.808,0.78,1.2058562002718232,12543.709671169383,4062,7303
18,50,1.485993,0.32,0.1220411686239636,0.1,"(0.32,)",0.1,0.32,0.0,0.0,0.7866666666666666,0.68,0.11333333333333333,0.0,0.7866666666666666,0.68,1.062747346765138,13915.8952916108,3536,7105
16,50,1.719046,0.38,0.16942658032133015,0.14,"(0.38,)",0.14,0.38,0.0,0.0,0.7514285714285714,0.54,0.10857142857142857,0.08,0.7514285714285714,0.54,0.9631577703471002,14917.38765158299,3307,7023
37,50,1.977103,0.16,0.17034456825063826,0.1425,"(0.16,)",0.1425,0.16,0.0,0.0,0.755,0.78,0.1025,0.06,0.755,0.78,0.8785602410311296,15894.05722237923,3266,7027
25,50,2.226755,0.26,0.18682966412644653,0.15555555555555556,"(0.26,)",0.15555555555555556,0.26,0.0,0.0,0.7511111111111111,0.72,0.09333333333333334,0.02,0.7511111111111111,0.72,0.8039724944437338,16769.967770084244,3600,7164
33,50,2.478825,0.18,0.1916432045047351,0.158,"(0.18,)",0.158,0.18,0.0,0.0,0.756,0.8,0.086,0.02,0.756,0.8,0.7505528558778753,17431.21664200554,3361,7094
13,50,2.720868,0.38,0.21715433990632046,0.1781818181818182,"(0.38,)",0.1781818181818182,0.38,0.0,0.0,0.7418181818181818,0.6,0.08,0.02,0.7418181818181818,0.6,0.7141723860707545,17904.72398586003,3304,7077
14,50,2.967936,0.36,0.23680033858850916,0.19333333333333333,"(0.36,)",0.19333333333333333,0.36,0.0,0.0,0.7333333333333333,0.64,0.07333333333333333,0.0,0.7333333333333333,0.64,0.6795973725457642,18313.43937960979,3548,7157
16,50,3.212985,0.34,0.2510507419524807,0.20461538461538462,"(0.34,)",0.20461538461538462,0.34,0.0,0.0,0.7276923076923076,0.66,0.06769230769230769,0.0,0.7276923076923076,0.66,0.6489182319782172,18640.00874557278,3543,7183
16,50,3.458338,0.36,0.26292406188056777,0.21571428571428572,"(0.36,)",0.21571428571428572,0.36,0.0,0.0,0.7185714285714285,0.6,0.06571428571428571,0.04,0.7185714285714285,0.6,0.6242003276269458,18931.724807263992,3702,7242
24,50,3.716396,0.26,0.26837969844977705,0.21866666666666668,"(0.26,)",0.21866666666666668,0.26,0.0,0.0,0.72,0.74,0.06133333333333333,0.0,0.72,0.74,0.5989588908535303,19204.443560438158,3854,7335
27,50,3.975255,0.24,0.26850791311016603,0.22,"(0.24,)",0.22,0.24,0.0,0.0,0.72125,0.74,0.05875,0.02,0.72125,0.74,0.581626716558996,19403.799019585815,3976,7404
20,50,4.243039,0.3,0.2744891392544371,0.22470588235294117,"(0.3,)",0.22470588235294117,0.3,0.0,0.0,0.72,0.7,0.05529411764705883,0.0,0.72,0.7,0.5602085949798231,19523.94579446045,4297,7483
25,50,4.497096,0.26,0.27800815231776393,0.22666666666666666,"(0.26,)",0.22666666666666666,0.26,0.0,0.0,0.72,0.72,0.05333333333333334,0.02,0.72,0.72,0.5465255096149966,19598.53544801075,3946,7343
19,50,4.752154,0.32,0.2846658521481531,0.23157894736842105,"(0.32,)",0.23157894736842105,0.32,0.0,0.0,0.716842105263158,0.66,0.05157894736842105,0.02,0.716842105263158,0.66,0.5322874262733667,19697.7000915371,4021,7378
38,50,5.014212,0.12,0.2779927073982571,0.226,"(0.12,)",0.226,0.12,0.0,0.0,0.725,0.88,0.049,0.0,0.725,0.88,0.5167767414128271,19794.736957250327,3743,7308
