#{"t_start": 1678581382.2742963, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
25,50,0.155035,0.42,0.38306924882629106,0.42,"(0.42,)",0.0,0.0,0.42,0.42,0.24,0.24,0.34,0.34,0.24,0.24,4.42226190601357,2192.165530308933,8056,8896
4,50,0.330074,0.52,0.4480792079207921,0.47,"(0.52,)",0.0,0.0,0.47,0.52,0.3,0.36,0.23,0.12,0.3,0.36,3.502516831868215,3680.3711991481523,7084,8600
28,50,0.530119,0.3,0.39733889903469866,0.41333333333333333,"(0.3,)",0.0,0.0,0.41333333333333333,0.3,0.38,0.54,0.20666666666666667,0.16,0.38,0.54,2.8039804023989374,5180.9882726539345,5795,8185
1,50,0.714147,0.52,0.44968429360694556,0.44,"(0.52,)",0.0,0.0,0.44,0.52,0.39,0.42,0.17,0.06,0.39,0.42,2.3325522177959646,6662.066797458137,5069,8047
-20,50,0.861404,0.72,0.5043981843794021,0.496,"(0.72,)",0.06,0.3,0.436,0.42,0.388,0.38,0.144,0.04,0.36,0.24,2.0050829370829537,7818.991449036568,4795,7985
-20,50,1.011438,0.74,0.5435356890644207,0.5366666666666666,"(0.74,)",0.09333333333333334,0.26,0.44333333333333336,0.48,0.37,0.28,0.13333333333333333,0.08,0.33,0.18,1.7892688820168352,8575.741048623137,4965,7968
-25,50,1.157478,0.76,0.5787079570663499,0.5685714285714286,"(0.76,)",0.12,0.28,0.44857142857142857,0.48,0.3657142857142857,0.34,0.11714285714285715,0.02,0.3142857142857143,0.22,1.629530268167796,9083.206745494741,4925,7947
-2,50,1.317506,0.58,0.5826983592930512,0.57,"(0.58,)",0.14,0.28,0.43,0.3,0.375,0.44,0.1175,0.12,0.3125,0.3,1.4963828528760066,9598.2829395273,4436,7740
-12,50,1.479543,0.64,0.5881315269545583,0.5777777777777777,"(0.64,)",0.1622222222222222,0.34,0.41555555555555557,0.3,0.39111111111111113,0.52,0.10888888888888888,0.04,0.31333333333333335,0.32,1.3727436799881347,10168.530697256827,4475,7766
-20,50,1.634584,0.74,0.6066675198361915,0.594,"(0.74,)",0.182,0.36,0.412,0.38,0.384,0.32,0.106,0.08,0.3,0.18,1.287779652565358,10523.934266227645,4827,7868
-15,50,1.788612,0.68,0.6195281327704851,0.6018181818181818,"(0.68,)",0.19818181818181818,0.36,0.4036363636363636,0.32,0.39454545454545453,0.5,0.10181818181818182,0.06,0.2963636363636364,0.26,1.2309267731244267,10764.598457984257,4627,7841
-20,50,1.935646,0.74,0.6330150248650936,0.6133333333333333,"(0.74,)",0.20666666666666667,0.3,0.4066666666666667,0.44,0.39,0.34,0.1,0.08,0.2866666666666667,0.18,1.1750273947700276,11004.485170674547,4903,7889
-17,50,2.088686,0.68,0.6391942065213395,0.6184615384615385,"(0.68,)",0.21076923076923076,0.26,0.4076923076923077,0.42,0.3953846153846154,0.46,0.09384615384615384,0.02,0.2876923076923077,0.3,1.1204618550130558,11258.241199422064,4702,7862
-15,50,2.245708,0.68,0.6425576997562142,0.6228571428571429,"(0.68,)",0.22428571428571428,0.4,0.3985714285714286,0.28,0.4042857142857143,0.52,0.09142857142857143,0.06,0.2857142857142857,0.26,1.077007545167577,11489.427776083225,4497,7761
-28,50,2.392942,0.78,0.6560947122531323,0.6333333333333333,"(0.78,)",0.23466666666666666,0.38,0.39866666666666667,0.4,0.4053333333333333,0.42,0.08533333333333333,0.0,0.2813333333333333,0.22,1.0354480910829136,11648.889235042048,4878,7876
-13,50,2.549976,0.66,0.6573409161080844,0.635,"(0.66,)",0.23375,0.22,0.40125,0.44,0.40625,0.42,0.08375,0.06,0.28125,0.28,1.0065467266739476,11771.244724046548,4744,7883
-21,50,2.706011,0.72,0.6615961425467026,0.64,"(0.72,)",0.24352941176470588,0.4,0.39647058823529413,0.32,0.41058823529411764,0.48,0.08,0.02,0.28,0.26,0.9624702024798489,11952.261911142563,4812,7884
-21,50,2.852045,0.74,0.6687635651391364,0.6455555555555555,"(0.74,)",0.2511111111111111,0.38,0.39444444444444443,0.36,0.4111111111111111,0.42,0.07888888888888888,0.06,0.27555555555555555,0.2,0.9370909313103202,12049.021422918424,4914,7905
-24,50,3.002253,0.76,0.6743794875228037,0.651578947368421,"(0.76,)",0.25473684210526315,0.32,0.3968421052631579,0.44,0.4105263157894737,0.4,0.07684210526315789,0.04,0.27157894736842103,0.2,0.9145002875317572,12115.585611381446,5104,7995
-7,50,3.178286,0.6,0.67162637729284,0.649,"(0.6,)",0.255,0.26,0.394,0.34,0.417,0.54,0.076,0.06,0.275,0.34,0.8887038920396808,12190.959766523312,4896,7855
-17,50,3.336191,0.7,0.673538452220523,0.6514285714285715,"(0.7,)",0.26,0.36,0.3914285714285714,0.34,0.41714285714285715,0.42,0.07523809523809524,0.06,0.2733333333333333,0.24,0.867932631922451,12251.982936181574,4936,7879
-27,50,3.478239,0.78,0.6784506787330317,0.6572727272727272,"(0.78,)",0.2636363636363636,0.34,0.3936363636363636,0.44,0.41818181818181815,0.44,0.07272727272727272,0.02,0.27,0.2,0.8474651653212475,12312.226552914248,5081,7942
-19,50,3.631259,0.7,0.6820969747202652,0.6591304347826087,"(0.7,)",0.2678260869565217,0.36,0.391304347826087,0.34,0.42086956521739133,0.48,0.07043478260869565,0.02,0.27043478260869563,0.28,0.8339822306019606,12326.522785118223,5095,7950
-24,50,3.779312,0.76,0.6853612041462026,0.6633333333333333,"(0.76,)",0.27166666666666667,0.36,0.39166666666666666,0.4,0.42,0.4,0.06916666666666667,0.04,0.2675,0.2,0.8209468284716975,12356.936004268582,5216,7981
-9,50,3.943123,0.62,0.6833076599915978,0.6616,"(0.62,)",0.2712,0.26,0.3904,0.36,0.4232,0.5,0.0688,0.06,0.2696,0.32,0.8081231336236654,12403.46284406665,4928,7891
-18,50,4.093663,0.72,0.6854202401372212,0.6638461538461539,"(0.72,)",0.27384615384615385,0.34,0.39,0.38,0.4207692307692308,0.36,0.06923076923076923,0.08,0.26692307692307693,0.2,0.7937371308427156,12462.300610516819,4880,7839
-30,50,4.231692,0.82,0.69032296191236,0.6696296296296296,"(0.82,)",0.27555555555555555,0.32,0.3940740740740741,0.5,0.4162962962962963,0.3,0.06814814814814815,0.04,0.26222222222222225,0.14,0.7825467509727808,12504.464988374892,4962,7862
-18,50,4.380726,0.7,0.6919195370876617,0.6707142857142857,"(0.7,)",0.27785714285714286,0.34,0.39285714285714285,0.36,0.41785714285714287,0.46,0.06714285714285714,0.04,0.2621428571428571,0.26,0.7719315428140906,12553.771696610578,4669,7785
-13,50,4.543755,0.66,0.6903925756308071,0.670344827586207,"(0.66,)",0.2813793103448276,0.38,0.3889655172413793,0.28,0.42137931034482756,0.52,0.06689655172413793,0.06,0.26275862068965516,0.28,0.7567286664885802,12648.00390169889,4706,7713
-36,50,4.673791,0.88,0.6977987203965388,0.6773333333333333,"(0.88,)",0.2846666666666667,0.38,0.39266666666666666,0.5,0.4166666666666667,0.28,0.066,0.04,0.25666666666666665,0.08,0.7476660402898212,12684.80650129952,4994,7762
-7,50,4.835854,0.62,0.6966413197577007,0.675483870967742,"(0.62,)",0.2845161290322581,0.28,0.3909677419354839,0.34,0.4180645161290323,0.46,0.06709677419354838,0.1,0.2574193548387097,0.28,0.7358585609495216,12728.069443290897,4789,7705
-26,50,4.979872,0.78,0.7000974439697174,0.67875,"(0.78,)",0.289375,0.44,0.389375,0.34,0.42,0.48,0.06625,0.04,0.255,0.18,0.7206119899772386,12812.95745331396,4805,7693
-25,50,5.124905,0.76,0.7014902956366702,0.6812121212121212,"(0.76,)",0.2909090909090909,0.34,0.3903030303030303,0.42,0.42,0.42,0.06484848484848485,0.02,0.25393939393939396,0.22,0.710847415387601,12865.046607408072,4751,7664
-32,50,5.263936,0.82,0.7060434527304756,0.6852941176470588,"(0.82,)",0.2958823529411765,0.46,0.38941176470588235,0.36,0.4194117647058824,0.4,0.06294117647058824,0.0,0.25176470588235295,0.18,0.7047629060761077,12893.347731322607,4917,7775
-14,50,5.432795,0.66,0.7054808592234117,0.6845714285714286,"(0.66,)",0.2965714285714286,0.32,0.388,0.34,0.4217142857142857,0.5,0.062285714285714285,0.04,0.25314285714285717,0.3,0.6963117617195789,12931.699032103152,4809,7720
-17,50,5.587816,0.7,0.7059935505393083,0.685,"(0.7,)",0.29944444444444446,0.4,0.38555555555555554,0.3,0.4222222222222222,0.44,0.06222222222222222,0.06,0.25277777777777777,0.24,0.6882861091996872,12971.838098369266,4928,7763
-21,50,5.734848,0.74,0.7080511370025344,0.6864864864864865,"(0.74,)",0.30108108108108106,0.36,0.3854054054054054,0.38,0.42324324324324325,0.46,0.062162162162162166,0.06,0.25135135135135134,0.2,0.6808999949658479,13004.712740297593,4836,7715
-23,50,5.88589,0.76,0.7101309609978622,0.6884210526315789,"(0.76,)",0.3005263157894737,0.28,0.38789473684210524,0.48,0.4226315789473684,0.4,0.06210526315789474,0.06,0.24947368421052632,0.18,0.6757641548499544,13026.568733566495,5021,7802
-16,50,6.041938,0.68,0.7097242201812303,0.6882051282051282,"(0.68,)",0.29846153846153844,0.22,0.38974358974358975,0.46,0.42256410256410254,0.42,0.06153846153846154,0.04,0.25025641025641027,0.28,0.6703595847243429,13058.607827596168,5102,7883
-10,50,6.21224,0.6,0.707203591212074,0.686,"(0.6,)",0.294,0.12,0.392,0.48,0.423,0.44,0.06,0.0,0.254,0.4,0.6659145414086703,13091.996298531541,4917,7787
-20,50,6.369275,0.72,0.7082323228386352,0.686829268292683,"(0.72,)",0.2946341463414634,0.32,0.3921951219512195,0.4,0.4224390243902439,0.4,0.05951219512195122,0.04,0.25365853658536586,0.24,0.6612101479037856,13119.707297292276,5032,7818
-5,50,6.533318,0.58,0.7056786228653728,0.6842857142857143,"(0.58,)",0.29285714285714287,0.22,0.3914285714285714,0.36,0.42333333333333334,0.46,0.05952380952380952,0.06,0.2561904761904762,0.36,0.6569496804769204,13153.80624049433,4452,7599
