,KSPFF,Agent
0,0.79781,0.52546
1,0.90351,0.51901
2,0.89106,0.48969
3,0.82168,0.43411
4,0.7516,0.39612
5,0.68756,0.35694
6,0.63187,0.32416
7,0.58513,0.30482
8,0.54613,0.28219
9,0.50958,0.25863
