#{"t_start": 1678573105.660961, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
25,50,0.154048,0.42,0.38306924882629106,0.42,"(0.42,)",0.0,0.0,0.42,0.42,0.24,0.24,0.34,0.34,0.24,0.24,4.42226190601357,2192.165530308933,8056,8896
4,50,0.333076,0.52,0.4480792079207921,0.47,"(0.52,)",0.0,0.0,0.47,0.52,0.3,0.36,0.23,0.12,0.3,0.36,3.5085740760847863,3459.183742097983,7416,8720
28,50,0.533128,0.3,0.39733889903469866,0.41333333333333333,"(0.3,)",0.0,0.0,0.41333333333333333,0.3,0.38,0.54,0.20666666666666667,0.16,0.38,0.54,2.8236594748291375,4396.96083944448,6409,8408
3,50,0.709173,0.52,0.44968429360694556,0.44,"(0.52,)",0.0,0.0,0.44,0.52,0.38,0.38,0.18,0.1,0.38,0.38,2.3717691754112993,5332.357403920997,5988,8330
-1,50,0.893267,0.56,0.46965096259195493,0.464,"(0.56,)",0.016,0.08,0.448,0.48,0.376,0.36,0.164,0.1,0.372,0.34,2.0680905448361897,5937.672809417941,6323,8358
-4,50,1.065293,0.58,0.48599377501111607,0.48333333333333334,"(0.58,)",0.02,0.04,0.4633333333333333,0.54,0.37333333333333335,0.36,0.15,0.08,0.36666666666666664,0.34,1.8924553271566034,6278.942083173446,6286,8381
-11,50,1.236873,0.62,0.5064422883008044,0.5028571428571429,"(0.62,)",0.02857142857142857,0.08,0.4742857142857143,0.54,0.37714285714285717,0.4,0.13142857142857142,0.02,0.3657142857142857,0.36,1.7538626832456539,6528.234656884985,6143,8324
17,50,1.431916,0.42,0.4929641577770301,0.4925,"(0.42,)",0.03,0.04,0.4625,0.38,0.385,0.44,0.1375,0.18,0.37,0.4,1.6570300774355236,6726.3596250831615,6156,8330
7,50,1.618348,0.5,0.4951312447078747,0.49333333333333335,"(0.5,)",0.035555555555555556,0.08,0.4577777777777778,0.42,0.3888888888888889,0.42,0.13777777777777778,0.14,0.3688888888888889,0.36,1.5667560766661024,6921.859514341969,6321,8344
2,50,1.805385,0.52,0.498560276426926,0.496,"(0.52,)",0.036,0.04,0.46,0.48,0.392,0.42,0.132,0.08,0.372,0.4,1.4994132228092445,7055.110628953105,6378,8334
11,50,1.996433,0.44,0.4955617880067079,0.4909090909090909,"(0.44,)",0.038181818181818185,0.06,0.4527272727272727,0.38,0.4018181818181818,0.5,0.1290909090909091,0.1,0.38,0.46,1.4610071707118424,7096.026332506756,6390,8374
-1,50,2.173462,0.56,0.5025261877050048,0.49666666666666665,"(0.56,)",0.035,0.0,0.46166666666666667,0.56,0.39666666666666667,0.34,0.12666666666666668,0.1,0.37666666666666665,0.34,1.4296293670262579,7140.5920216827435,6553,8399
3,50,2.355515,0.52,0.5028612040338688,0.49846153846153846,"(0.52,)",0.03538461538461538,0.04,0.46307692307692305,0.48,0.3984615384615385,0.42,0.12461538461538461,0.1,0.3769230769230769,0.38,1.3977553944012895,7177.907029199666,6708,8449
20,50,2.550558,0.38,0.49537490601717893,0.49,"(0.38,)",0.03428571428571429,0.02,0.45571428571428574,0.36,0.40285714285714286,0.46,0.12714285714285714,0.16,0.38285714285714284,0.46,1.3607377244586263,7276.646375602136,6060,8287
-2,50,2.733593,0.56,0.5023253344659163,0.49466666666666664,"(0.56,)",0.037333333333333336,0.08,0.4573333333333333,0.48,0.404,0.42,0.124,0.08,0.38133333333333336,0.36,1.3257066424320256,7354.725684253822,6276,8373
-7,50,2.898022,0.6,0.5076342340368316,0.50125,"(0.6,)",0.0425,0.12,0.45875,0.48,0.405,0.42,0.12,0.06,0.37875,0.34,1.3019831588681239,7435.864978884632,6053,8362
4,50,3.097072,0.5,0.5079508678337266,0.5011764705882353,"(0.5,)",0.04352941176470588,0.06,0.4576470588235294,0.44,0.40941176470588236,0.48,0.11764705882352941,0.08,0.3811764705882353,0.42,1.2674385428795258,7520.123753055335,6612,8456
3,50,3.279099,0.52,0.5108344655996895,0.5022222222222222,"(0.52,)",0.043333333333333335,0.04,0.4588888888888889,0.48,0.4088888888888889,0.4,0.11666666666666667,0.1,0.3811111111111111,0.38,1.2558515866188167,7516.428716705401,6418,8409
-4,50,3.448151,0.6,0.5156906391738774,0.5073684210526316,"(0.6,)",0.045263157894736845,0.08,0.46210526315789474,0.52,0.40421052631578946,0.32,0.1168421052631579,0.12,0.3757894736842105,0.28,1.243219748339505,7539.773435466476,6390,8443
12,50,3.644182,0.42,0.5117134436491607,0.503,"(0.42,)",0.046,0.06,0.457,0.36,0.411,0.54,0.115,0.08,0.382,0.5,1.2213126799744367,7603.98798901803,6017,8333
-3,50,3.833092,0.56,0.5136426267734657,0.5057142857142857,"(0.56,)",0.047619047619047616,0.08,0.4580952380952381,0.48,0.4123809523809524,0.44,0.11238095238095239,0.06,0.3819047619047619,0.38,1.2004890651472135,7676.0873873817,6206,8313
0,50,4.023128,0.54,0.5141502262443439,0.5072727272727273,"(0.54,)",0.04818181818181818,0.06,0.4590909090909091,0.48,0.4118181818181818,0.4,0.11090909090909092,0.08,0.38181818181818183,0.38,1.1846134550948413,7712.122885564056,6554,8470
4,50,4.202169,0.5,0.5164732697886448,0.5069565217391304,"(0.5,)",0.049565217391304345,0.08,0.4573913043478261,0.42,0.41304347826086957,0.44,0.10956521739130434,0.08,0.3834782608695652,0.42,1.1754642571235208,7712.664546370919,6276,8354
-6,50,4.367211,0.6,0.5195792901679926,0.5108333333333334,"(0.6,)",0.05,0.06,0.4608333333333333,0.54,0.4116666666666667,0.38,0.10833333333333334,0.08,0.38083333333333336,0.32,1.1597897096610583,7759.094487109272,5861,8224
-3,50,4.54512,0.58,0.5234815597509898,0.5136,"(0.58,)",0.056,0.2,0.4576,0.38,0.4128,0.44,0.108,0.1,0.3784,0.32,1.1454295070856937,7823.946414844082,6081,8329
-3,50,4.719158,0.56,0.5246998284734133,0.5153846153846153,"(0.56,)",0.05692307692307692,0.08,0.4584615384615385,0.48,0.41307692307692306,0.42,0.10615384615384615,0.06,0.37846153846153846,0.38,1.1334110269479274,7865.8140271862885,5903,8215
-12,50,4.884475,0.68,0.5294625180982774,0.5214814814814814,"(0.68,)",0.05925925925925926,0.12,0.4622222222222222,0.56,0.4066666666666667,0.24,0.10666666666666667,0.12,0.3718518518518519,0.2,1.1188475932682507,7924.636114994311,5819,8126
8,50,5.076519,0.5,0.5290402314561691,0.5207142857142857,"(0.5,)",0.05928571428571429,0.06,0.4614285714285714,0.44,0.405,0.36,0.10857142857142857,0.16,0.3707142857142857,0.34,1.1068571158212661,7959.521032905327,5923,8247
18,50,5.278564,0.42,0.5238947113479238,0.5172413793103449,"(0.42,)",0.05931034482758621,0.06,0.4579310344827586,0.36,0.40551724137931033,0.42,0.11172413793103449,0.2,0.37103448275862067,0.38,1.0971750887654508,8000.45278943237,6262,8372
-13,50,5.445603,0.66,0.5285145218505853,0.522,"(0.66,)",0.05733333333333333,0.0,0.4646666666666667,0.66,0.4013333333333333,0.28,0.11,0.06,0.368,0.28,1.09419778624296,8005.093038559975,6608,8467
20,50,5.646647,0.4,0.524335610259054,0.5180645161290323,"(0.4,)",0.0567741935483871,0.04,0.4612903225806452,0.36,0.40258064516129033,0.44,0.11290322580645161,0.2,0.3690322580645161,0.4,1.092511261796951,7996.9537807141705,6603,8453
9,50,5.839691,0.46,0.5230842265697224,0.51625,"(0.46,)",0.056875,0.06,0.459375,0.4,0.405,0.48,0.1125,0.1,0.37125,0.44,1.0895116195826255,7985.311619310535,6720,8520
2,50,6.027733,0.5,0.5206248001472854,0.5157575757575757,"(0.5,)",0.05515151515151515,0.0,0.46060606060606063,0.5,0.4066666666666667,0.46,0.1103030303030303,0.04,0.37393939393939396,0.46,1.086732801303722,7990.815230695147,6299,8438
-16,50,6.185768,0.68,0.526604815032296,0.5205882352941177,"(0.68,)",0.05941176470588235,0.2,0.4611764705882353,0.48,0.40647058823529414,0.4,0.10823529411764705,0.04,0.3711764705882353,0.28,1.0866819184726122,7995.635342562655,6359,8441
5,50,6.365148,0.5,0.526628164448604,0.52,"(0.5,)",0.061142857142857145,0.12,0.45885714285714285,0.38,0.4085714285714286,0.48,0.108,0.1,0.372,0.4,1.0857427712622165,8015.63061713777,6186,8313
4,50,6.54685,0.54,0.5279573001223173,0.5205555555555555,"(0.54,)",0.06166666666666667,0.08,0.4588888888888889,0.46,0.4072222222222222,0.36,0.10944444444444444,0.16,0.37,0.3,1.0838004404311894,8017.396588536383,6392,8433
5,50,6.735893,0.5,0.5274152113553209,0.52,"(0.5,)",0.062162162162162166,0.08,0.4578378378378378,0.42,0.40864864864864864,0.46,0.10918918918918918,0.1,0.3708108108108108,0.4,1.0822140598112178,8016.57092979141,6592,8464
1,50,6.911932,0.56,0.5282668709074688,0.5210526315789473,"(0.56,)",0.06157894736842105,0.04,0.4594736842105263,0.52,0.4068421052631579,0.34,0.11,0.14,0.36894736842105263,0.3,1.0841394486717166,8004.960314816645,6418,8417
0,50,7.085971,0.56,0.5291128242328862,0.522051282051282,"(0.56,)",0.062051282051282054,0.08,0.46,0.48,0.40564102564102567,0.36,0.11025641025641025,0.12,0.3676923076923077,0.32,1.0829461261046014,8002.3895158800615,6281,8366
1,50,7.264011,0.54,0.5299913334850972,0.5225,"(0.54,)",0.061,0.02,0.4615,0.52,0.4045,0.36,0.11,0.1,0.3675,0.36,1.0829773703078396,8007.308693764748,6291,8319
1,50,7.450286,0.52,0.5293287706470647,0.5224390243902439,"(0.52,)",0.06,0.02,0.4624390243902439,0.5,0.4053658536585366,0.44,0.10878048780487805,0.06,0.36878048780487804,0.42,1.0780429464350547,8016.864158076435,6094,8247
