#{"t_start": 1678585758.2270277, "env_id": "DeepRMSAKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
69,50,0.208062,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.62,0.62,0.38,0.38,0.62,0.62,2.9338135887853882,3406.805854468789,7668,8688
56,50,0.452103,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.75,0.88,0.25,0.12,0.75,0.88,2.1750263500528746,6195.101889726265,5960,7988
55,50,0.702179,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8,0.9,0.2,0.1,0.8,0.9,1.7114719111084291,8868.777427752635,4466,7375
36,50,0.953214,0.18,0.055248618784530384,0.045,"(0.18,)",0.045,0.18,0.0,0.0,0.785,0.74,0.17,0.08,0.785,0.74,1.4037697625937255,11451.941448189971,3524,7052
19,50,1.199286,0.32,0.11832837689779307,0.1,"(0.32,)",0.1,0.32,0.0,0.0,0.76,0.66,0.14,0.02,0.76,0.66,1.1975965352803266,13580.632711310234,3166,6950
0,50,1.427321,0.5,0.19072528967122643,0.16666666666666666,"(0.5,)",0.16666666666666666,0.5,0.0,0.0,0.7166666666666667,0.5,0.11666666666666667,0.0,0.7166666666666667,0.5,1.0547698653039876,15285.898539511585,3264,7013
9,50,1.660373,0.44,0.23859995070248952,0.2057142857142857,"(0.44,)",0.2057142857142857,0.44,0.0,0.0,0.6857142857142857,0.5,0.10857142857142857,0.06,0.6857142857142857,0.5,0.9595622461595071,16400.717661166636,3260,7026
24,50,1.900934,0.26,0.2487976725315178,0.2125,"(0.26,)",0.2125,0.26,0.0,0.0,0.6925,0.74,0.095,0.0,0.6925,0.74,0.8773588045824262,17447.881973744672,2887,6906
-1,50,2.126256,0.52,0.28785633643804687,0.24666666666666667,"(0.52,)",0.24666666666666667,0.52,0.0,0.0,0.6666666666666666,0.46,0.08666666666666667,0.02,0.6666666666666666,0.46,0.8012215373272097,18540.82693166954,2813,6894
-4,50,2.349352,0.54,0.32209815715382645,0.276,"(0.54,)",0.276,0.54,0.0,0.0,0.646,0.46,0.078,0.0,0.646,0.46,0.7479291040687728,19303.1673876838,2916,6953
9,50,2.586406,0.42,0.3394003353958249,0.28909090909090907,"(0.42,)",0.28909090909090907,0.42,0.0,0.0,0.6381818181818182,0.56,0.07272727272727272,0.02,0.6381818181818182,0.56,0.7129806700225683,19747.11365176805,2970,7000
0,50,2.808455,0.5,0.3591022114062004,0.30666666666666664,"(0.5,)",0.30666666666666664,0.5,0.0,0.0,0.6266666666666667,0.5,0.06666666666666667,0.0,0.6266666666666667,0.5,0.6771477121227891,20237.047790464854,3061,7022
-1,50,3.031887,0.52,0.3774216079108922,0.3230769230769231,"(0.52,)",0.3230769230769231,0.52,0.0,0.0,0.6138461538461538,0.46,0.06307692307692307,0.02,0.6138461538461538,0.46,0.6459763559593769,20686.060151131252,2868,6954
-2,50,3.255004,0.52,0.3925633956847645,0.33714285714285713,"(0.52,)",0.33714285714285713,0.52,0.0,0.0,0.6042857142857143,0.48,0.05857142857142857,0.0,0.6042857142857143,0.48,0.6154586978262478,21130.480214069357,2773,6944
-2,50,3.476054,0.52,0.40764493523040984,0.34933333333333333,"(0.52,)",0.34933333333333333,0.52,0.0,0.0,0.596,0.48,0.05466666666666667,0.0,0.596,0.48,0.5880577020987003,21548.34734109438,2813,6958
-8,50,3.678113,0.58,0.42220849974602354,0.36375,"(0.58,)",0.36375,0.58,0.0,0.0,0.585,0.42,0.05125,0.0,0.585,0.42,0.5682071177213663,21866.802211546034,2726,6946
-12,50,3.902158,0.62,0.4390837615765568,0.3788235294117647,"(0.62,)",0.3788235294117647,0.62,0.0,0.0,0.5729411764705883,0.38,0.04823529411764706,0.0,0.5729411764705883,0.38,0.5420365897266528,22236.1347379628,3096,7074
-1,50,4.135201,0.52,0.4504067336027245,0.38666666666666666,"(0.52,)",0.38666666666666666,0.52,0.0,0.0,0.5666666666666667,0.46,0.04666666666666667,0.02,0.5666666666666667,0.46,0.526462685002839,22406.107570597425,2949,7013
-7,50,4.355265,0.58,0.45972317528326834,0.3968421052631579,"(0.58,)",0.3968421052631579,0.58,0.0,0.0,0.5578947368421052,0.4,0.045263157894736845,0.02,0.5578947368421052,0.4,0.510925440161648,22579.56850985851,3144,7115
6,50,4.589317,0.44,0.4609194397883716,0.399,"(0.44,)",0.399,0.44,0.0,0.0,0.558,0.56,0.043,0.0,0.558,0.56,0.49479987259530844,22773.278160952956,3160,7130
