#{"t_start": 1678576007.289781, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
25,50,0.15502,0.42,0.38306924882629106,0.42,"(0.42,)",0.0,0.0,0.42,0.42,0.24,0.24,0.34,0.34,0.24,0.24,4.42226190601357,2192.165530308933,8056,8896
4,50,0.330074,0.52,0.4480792079207921,0.47,"(0.52,)",0.0,0.0,0.47,0.52,0.3,0.36,0.23,0.12,0.3,0.36,3.5101037948704295,3635.1089175611232,7185,8618
28,50,0.532312,0.3,0.39733889903469866,0.41333333333333333,"(0.3,)",0.0,0.0,0.41333333333333333,0.3,0.38,0.54,0.20666666666666667,0.16,0.38,0.54,2.830084533261738,4940.8829278724625,6106,8340
2,50,0.71136,0.52,0.44968429360694556,0.44,"(0.52,)",0.0,0.0,0.44,0.52,0.385,0.4,0.175,0.08,0.385,0.4,2.370410512440143,6085.882663017058,5595,8208
-6,50,0.874779,0.6,0.47785255908592894,0.472,"(0.6,)",0.024,0.12,0.448,0.48,0.38,0.36,0.156,0.08,0.372,0.32,2.038405178451157,7004.642640137424,5332,8079
-14,50,1.036815,0.68,0.5102398451599404,0.5066666666666667,"(0.68,)",0.05333333333333334,0.2,0.4533333333333333,0.48,0.37,0.32,0.14333333333333334,0.08,0.35,0.24,1.8289377145335322,7559.353838990431,5416,8075
-17,50,1.19385,0.68,0.5385528939879445,0.5314285714285715,"(0.68,)",0.07428571428571429,0.2,0.45714285714285713,0.48,0.37714285714285717,0.42,0.12571428571428572,0.02,0.34285714285714286,0.3,1.6757737240822272,7959.6556571527035,5418,8078
4,50,1.368883,0.54,0.5398895639954876,0.5325,"(0.54,)",0.095,0.24,0.4375,0.3,0.38,0.4,0.13,0.16,0.3375,0.3,1.5503679834835742,8351.427318575086,5324,8078
3,50,1.554925,0.5,0.5369566751340672,0.5288888888888889,"(0.5,)",0.09777777777777778,0.12,0.4311111111111111,0.38,0.3933333333333333,0.5,0.12222222222222222,0.06,0.3488888888888889,0.44,1.4458697499008435,8686.654498604747,5313,8078
-8,50,1.726969,0.62,0.5492065523419504,0.538,"(0.62,)",0.104,0.16,0.434,0.46,0.394,0.4,0.118,0.08,0.344,0.3,1.3660244711009188,8963.194324089116,5524,8086
0,50,1.906996,0.54,0.5542126872144798,0.5381818181818182,"(0.54,)",0.10727272727272727,0.14,0.4309090909090909,0.4,0.4036363636363636,0.5,0.11454545454545455,0.08,0.3472727272727273,0.38,1.3109629311358333,9116.51732621822,5390,8071
-9,50,2.074273,0.64,0.5665141254893662,0.5466666666666666,"(0.64,)",0.10666666666666667,0.1,0.44,0.54,0.39666666666666667,0.32,0.11333333333333333,0.1,0.34,0.26,1.2644104002030019,9240.415387628753,5777,8220
-1,50,2.25061,0.54,0.5647538874388854,0.5461538461538461,"(0.54,)",0.10615384615384615,0.1,0.44,0.44,0.4015384615384615,0.46,0.10923076923076923,0.06,0.3446153846153846,0.4,1.21690570859896,9352.65434436006,5576,8159
-2,50,2.425653,0.58,0.5687042901733841,0.5485714285714286,"(0.58,)",0.11428571428571428,0.22,0.4342857142857143,0.36,0.40714285714285714,0.48,0.11,0.12,0.3414285714285714,0.3,1.1794969441659076,9464.599614163344,5624,8154
-20,50,2.58935,0.7,0.5827776598003822,0.5586666666666666,"(0.7,)",0.124,0.26,0.43466666666666665,0.44,0.412,0.48,0.10266666666666667,0.0,0.33866666666666667,0.3,1.1439753718643049,9528.636690986055,6036,8238
