#{"t_start": 1678584723.5804884, "env_id": "DeepRMSAKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
69,50,0.205046,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.62,0.62,0.38,0.38,0.62,0.62,2.9038553682784483,3375.861875742962,7668,8688
56,50,0.456088,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.75,0.88,0.25,0.12,0.75,0.88,2.138100190190287,6068.131641841117,6147,8055
55,50,0.709159,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8,0.9,0.2,0.1,0.8,0.9,1.6812970158184282,8321.017211859442,4993,7568
47,50,0.965217,0.06,0.02036306235201263,0.015,"(0.06,)",0.015,0.06,0.0,0.0,0.82,0.88,0.165,0.06,0.82,0.88,1.3877355576898165,10373.630456438194,4332,7435
39,50,1.228267,0.14,0.05252778212552825,0.04,"(0.14,)",0.04,0.14,0.0,0.0,0.816,0.8,0.144,0.06,0.816,0.8,1.1864983495865324,12067.009049482927,4074,7356
17,50,1.486322,0.34,0.11220673240394424,0.09,"(0.34,)",0.09,0.34,0.0,0.0,0.7866666666666666,0.64,0.12333333333333334,0.02,0.7866666666666666,0.64,1.0496416160418585,13318.816127895376,3885,7307
33,50,1.737378,0.22,0.13281197481345375,0.10857142857142857,"(0.22,)",0.10857142857142857,0.22,0.0,0.0,0.7714285714285715,0.68,0.12,0.1,0.7714285714285715,0.68,0.953077506175134,14221.930780509958,3574,7092
40,50,1.999437,0.12,0.1372533496942229,0.11,"(0.12,)",0.11,0.12,0.0,0.0,0.78,0.84,0.11,0.04,0.78,0.84,0.8711747266796701,15111.751208487543,3737,7183
37,50,2.264624,0.14,0.144422099915326,0.11333333333333333,"(0.14,)",0.11333333333333333,0.14,0.0,0.0,0.7866666666666666,0.84,0.1,0.02,0.7866666666666666,0.84,0.7995249232653378,15943.988782566492,3953,7303
37,50,2.527682,0.14,0.14824353724084977,0.116,"(0.14,)",0.116,0.14,0.0,0.0,0.792,0.84,0.092,0.02,0.792,0.84,0.7475868237825182,16588.36529845781,3815,7297
29,50,2.789885,0.22,0.16090325565257618,0.12545454545454546,"(0.22,)",0.12545454545454546,0.22,0.0,0.0,0.7890909090909091,0.76,0.08545454545454545,0.02,0.7890909090909091,0.76,0.712305473738506,17021.22045124634,3890,7339
24,50,3.048953,0.26,0.17261400909956617,0.13666666666666666,"(0.26,)",0.13666666666666666,0.26,0.0,0.0,0.785,0.74,0.07833333333333334,0.0,0.785,0.74,0.6800955616654747,17441.614213044584,4051,7368
27,50,3.30501,0.26,0.18540847210479236,0.14615384615384616,"(0.26,)",0.14615384615384616,0.26,0.0,0.0,0.7769230769230769,0.68,0.07692307692307693,0.06,0.7769230769230769,0.68,0.6516303513929297,17832.59475778848,3957,7348
30,50,3.57207,0.22,0.18995921715158004,0.15142857142857144,"(0.22,)",0.15142857142857144,0.22,0.0,0.0,0.7742857142857142,0.74,0.07428571428571429,0.04,0.7742857142857142,0.74,0.6300733018360578,18083.28211909996,4231,7480
28,50,3.84013,0.22,0.19636865576555532,0.156,"(0.22,)",0.156,0.22,0.0,0.0,0.7746666666666666,0.78,0.06933333333333333,0.0,0.7746666666666666,0.78,0.6082873872905971,18310.385841327952,4435,7568
37,50,4.107184,0.14,0.19455593956355885,0.155,"(0.14,)",0.155,0.14,0.0,0.0,0.77875,0.84,0.06625,0.02,0.77875,0.84,0.5923598208866563,18477.58765681068,4041,7437
20,50,4.381159,0.3,0.20498782887680586,0.1635294117647059,"(0.3,)",0.1635294117647059,0.3,0.0,0.0,0.7741176470588236,0.7,0.06235294117647059,0.0,0.7741176470588236,0.7,0.5704222930766883,18647.335552343982,4206,7427
29,50,4.641217,0.22,0.21060154223500555,0.16666666666666666,"(0.22,)",0.16666666666666666,0.22,0.0,0.0,0.7733333333333333,0.76,0.06,0.02,0.7733333333333333,0.76,0.5567723668473423,18724.65997791229,4167,7397
32,50,4.9022,0.2,0.21403705501347303,0.16842105263157894,"(0.2,)",0.16842105263157894,0.2,0.0,0.0,0.7726315789473684,0.76,0.05894736842105263,0.04,0.7726315789473684,0.76,0.5431862366868268,18804.918039614222,4030,7343
32,50,5.17326,0.18,0.21521119152215187,0.169,"(0.18,)",0.169,0.18,0.0,0.0,0.775,0.82,0.056,0.0,0.775,0.82,0.5285403289348733,18896.8843422258,4319,7510
